,name,en_react,en_prod,en_ts,f_barr,b_barr
0,Ir_Cat001,-1218.68943658,-1218.67795774,-1218.64816038,25.9012076238,18.6981264749
1,Ir_Cat002,-1375.81234498,-1375.80111737,-1375.77226679,25.1494449678,18.1040130305
2,Ir_Cat003,-1847.19718148,-1847.18519145,-1847.15638134,25.602475451300002,18.078617721
3,Ir_Cat004,-1532.92812282,-1532.91381021,-1532.88783151,25.2831797924,16.3018810476
4,Ir_Cat005,-1519.44251402,-1519.43387863,-1519.40575104,23.069119198299997,17.6503299371
5,Ir_Cat006,-1990.85128666,-1990.84565804,-1990.8155895,22.400307023000003,18.8682945011
6,Ir_Cat007,-1833.74181453,-1833.7311520999997,-1833.70570318,22.6602151829,15.9694390647
7,Ir_Cat008,-1999.53746702,-1999.52346152,-1999.49701496,25.3840519446,16.5954676424
8,Ir_Cat009,-1985.04997764,-1985.04013121,-1985.01333021,22.996610475500002,16.8178821095
9,Ir_Cat010,-2442.84737679,-2442.83813637,-2442.81069452,23.0184729064,17.2200215725
10,Ir_Cat011,-2381.82200374,-2381.81244846,-2381.78572836,22.7631455661,16.7671165908
11,Ir_Cat012,-3822.93474989,-3822.92512748,-3822.89873676,22.5985812,16.560427511900002
12,Ir_Cat013,-2142.1934671,-2142.18379494,-2142.15659362,23.138458998,17.0690867126
13,Ir_Cat014,-2142.18026578,-2142.16964565,-2142.1421914000002,23.8920351567,17.2278026904
14,Ir_Cat015,-2142.19382859,-2142.18401604,-2142.15722212,22.970907686599997,16.8134393424
15,Ir_Cat016,-2900.60160136,-2900.59906807,-2900.5608526,25.5702340132,23.980570471999997
16,Ir_Cat017,-2285.8327976,-2285.83832189,-2285.79514321,23.628487441799997,27.0950318974
17,Ir_Cat018,-2442.97278815,-2442.97498606,-2442.93529967,23.524377340500003,24.9035867457
18,Ir_Cat019,-2682.60377804,-2682.59601601,-2682.56831979,22.2503887286,17.3796411641
19,Ir_Cat020,-2442.98088095,-2442.97361688,-2442.94386082,23.2304832664,18.6722103327
20,Ir_Cat021,-4123.71935106,-4123.7089651,-4123.68137103,23.8328296351,17.3155410683
21,Ir_Cat022,-2142.19512239,-2142.18082047,-2142.15030097,28.1258668535,19.1512761853
22,Ir_Cat023,-2299.32811157,-2299.32285649,-2299.29227658,22.486796657600003,19.1891840342
23,Ir_Cat024,-1532.9412642999998,-1532.93100922,-1532.9018995,24.7017859657,18.2666258425
24,Ir_Cat025,-1847.20024012,-1847.19006236,-1847.16091671,24.6758133474,18.289172258599997
25,Ir_Cat026,-2442.83559158,-2442.82840724,-2442.79846477,23.2974259796,18.789184378599998
26,Ir_Cat027,-2442.9862824,-2442.97695061,-2442.95019803,22.643284976500002,16.7874980995
27,Ir_Cat028,-2299.33232375,-2299.32482679,-2299.29462248,23.6579050871,18.953491466
28,Ir_Cat029,-2538.96406923,-2538.95051074,-2538.91947324,27.984407386799997,19.4763261062
29,Ir_Cat030,-1297.25087455,-1297.23940232,-1297.21023099,25.5042200138,18.3052867027
30,Ir_Cat031,-1454.3698582,-1454.35962399,-1454.33052715,24.680607519899997,18.25854352
31,Ir_Cat032,-1925.75489821,-1925.74515788,-1925.71541394,24.776754525599998,18.6646049175
32,Ir_Cat033,-1611.4805594,-1611.4689643,-1611.44361943,23.1801821047,15.904146701300002
33,Ir_Cat034,-1598.00399945,-1597.99860189,-1597.9686601,22.175777848800003,18.7887576719
34,Ir_Cat035,-2069.4058597,-2069.40371542,-2069.37210801,21.179506116,19.8339500455
35,Ir_Cat036,-1912.29159995,-1912.29152704,-1912.25528637,22.7871164291,22.7413647113
36,Ir_Cat037,-2078.09125978,-2078.08004075,-2078.05409107,23.3237186278,16.283670721900002
37,Ir_Cat038,-2063.61242381,-2063.60080027,-2063.57519229,23.3631324996,16.069250725899998
38,Ir_Cat039,-2521.40984096,-2521.39894923,-2521.37245824,23.4580119359,16.6233478895
39,Ir_Cat040,-2460.38348167,-2460.37244312,-2460.3468451999997,22.9897329714,16.06293798
40,Ir_Cat041,-3901.49626036,-3901.48403752,-3901.45968364,22.9522392789,15.2822910619
