,reactant,product,rxn_nrj,rxn id,reactant label,Y
0,"['data/SN2-20/0000/r/00.xyz', 'data/SN2-20/0000/r/A.xyz']","['data/SN2-20/0000/p/00.xyz', 'data/SN2-20/0000/p/A.xyz']",-26.705806275852037,0,A_A_A_A_A_0,A
1,"['data/SN2-20/0002/r/00.xyz', 'data/SN2-20/0002/r/C.xyz']","['data/SN2-20/0002/p/00.xyz', 'data/SN2-20/0002/p/A.xyz']",43.83827621622572,2,A_A_A_A_A_0,B
2,"['data/SN2-20/0004/r/00.xyz', 'data/SN2-20/0004/r/A.xyz']","['data/SN2-20/0004/p/00.xyz', 'data/SN2-20/0004/p/B.xyz']",-70.5440923764715,4,A_A_A_A_A_0,C
3,"['data/SN2-20/0005/r/00.xyz', 'data/SN2-20/0005/r/B.xyz']","['data/SN2-20/0005/p/00.xyz', 'data/SN2-20/0005/p/B.xyz']",-43.83819273245511,5,A_A_A_A_A_0,D
4,"['data/SN2-20/0012/r/02.xyz', 'data/SN2-20/0012/r/A.xyz']","['data/SN2-20/0012/p/00.xyz', 'data/SN2-20/0012/p/A.xyz']",-29.54507734395648,12,A_A_A_A_B_0,A
5,"['data/SN2-20/0014/r/02.xyz', 'data/SN2-20/0014/r/C.xyz']","['data/SN2-20/0014/p/02.xyz', 'data/SN2-20/0014/p/A.xyz']",43.7719105173322,14,A_A_A_A_B_0,B
6,"['data/SN2-20/0016/r/02.xyz', 'data/SN2-20/0016/r/A.xyz']","['data/SN2-20/0016/p/00.xyz', 'data/SN2-20/0016/p/B.xyz']",-73.317076568419,16,A_A_A_A_B_0,C
7,"['data/SN2-20/0017/r/02.xyz', 'data/SN2-20/0017/r/B.xyz']","['data/SN2-20/0017/p/02.xyz', 'data/SN2-20/0017/p/B.xyz']",-43.77231484633913,17,A_A_A_A_B_0,D
8,"['data/SN2-20/0024/r/00.xyz', 'data/SN2-20/0024/r/A.xyz']","['data/SN2-20/0024/p/00.xyz', 'data/SN2-20/0024/p/A.xyz']",-28.814479796159574,24,A_A_A_A_C_0,A
9,"['data/SN2-20/0026/r/00.xyz', 'data/SN2-20/0026/r/C.xyz']","['data/SN2-20/0026/p/00.xyz', 'data/SN2-20/0026/p/A.xyz']",43.89553469765573,26,A_A_A_A_C_0,B
10,"['data/SN2-20/0028/r/00.xyz', 'data/SN2-20/0028/r/A.xyz']","['data/SN2-20/0028/p/00.xyz', 'data/SN2-20/0028/p/B.xyz']",-72.70997917002661,28,A_A_A_A_C_0,C
11,"['data/SN2-20/0029/r/00.xyz', 'data/SN2-20/0029/r/B.xyz']","['data/SN2-20/0029/p/00.xyz', 'data/SN2-20/0029/p/B.xyz']",-43.895482093143166,29,A_A_A_A_C_0,D
12,"['data/SN2-20/0036/r/01.xyz', 'data/SN2-20/0036/r/A.xyz']","['data/SN2-20/0036/p/00.xyz', 'data/SN2-20/0036/p/A.xyz']",-26.408328651622963,36,A_A_A_B_A_0,A
13,"['data/SN2-20/0038/r/01.xyz', 'data/SN2-20/0038/r/C.xyz']","['data/SN2-20/0038/p/01.xyz', 'data/SN2-20/0038/p/A.xyz']",43.77554194702071,38,A_A_A_B_A_0,B
14,"['data/SN2-20/0040/r/01.xyz', 'data/SN2-20/0040/r/A.xyz']","['data/SN2-20/0040/p/00.xyz', 'data/SN2-20/0040/p/B.xyz']",-70.18387441072292,40,A_A_A_B_A_0,C
15,"['data/SN2-20/0041/r/01.xyz', 'data/SN2-20/0041/r/B.xyz']","['data/SN2-20/0041/p/01.xyz', 'data/SN2-20/0041/p/B.xyz']",-43.77544755844841,41,A_A_A_B_A_0,D
16,"['data/SN2-20/0048/r/04.xyz', 'data/SN2-20/0048/r/A.xyz']","['data/SN2-20/0048/p/02.xyz', 'data/SN2-20/0048/p/A.xyz']",-26.105593326663904,48,A_A_A_B_B_0,A
17,"['data/SN2-20/0050/r/04.xyz', 'data/SN2-20/0050/r/C.xyz']","['data/SN2-20/0050/p/07.xyz', 'data/SN2-20/0050/p/A.xyz']",43.57831102648362,50,A_A_A_B_B_0,B
18,"['data/SN2-20/0052/r/07.xyz', 'data/SN2-20/0052/r/A.xyz']","['data/SN2-20/0052/p/02.xyz', 'data/SN2-20/0052/p/B.xyz']",-69.68386581090499,52,A_A_A_B_B_0,C
19,"['data/SN2-20/0053/r/07.xyz', 'data/SN2-20/0053/r/B.xyz']","['data/SN2-20/0053/p/04.xyz', 'data/SN2-20/0053/p/B.xyz']",-43.57827260024639,53,A_A_A_B_B_0,D
20,"['data/SN2-20/0060/r/02.xyz', 'data/SN2-20/0060/r/A.xyz']","['data/SN2-20/0060/p/00.xyz', 'data/SN2-20/0060/p/A.xyz']",-29.545077345240568,60,A_A_A_B_C_0,A
21,"['data/SN2-20/0062/r/02.xyz', 'data/SN2-20/0062/r/C.xyz']","['data/SN2-20/0062/p/02.xyz', 'data/SN2-20/0062/p/A.xyz']",43.77191051783157,62,A_A_A_B_C_0,B
22,"['data/SN2-20/0064/r/02.xyz', 'data/SN2-20/0064/r/A.xyz']","['data/SN2-20/0064/p/00.xyz', 'data/SN2-20/0064/p/B.xyz']",-73.31707656913241,64,A_A_A_B_C_0,C
23,"['data/SN2-20/0065/r/02.xyz', 'data/SN2-20/0065/r/B.xyz']","['data/SN2-20/0065/p/02.xyz', 'data/SN2-20/0065/p/B.xyz']",-43.77231484633913,65,A_A_A_B_C_0,D
24,"['data/SN2-20/0072/r/02.xyz', 'data/SN2-20/0072/r/A.xyz']","['data/SN2-20/0072/p/00.xyz', 'data/SN2-20/0072/p/A.xyz']",-32.78057538317541,72,A_A_A_C_A_0,A
25,"['data/SN2-20/0074/r/02.xyz', 'data/SN2-20/0074/r/C.xyz']","['data/SN2-20/0074/p/00.xyz', 'data/SN2-20/0074/p/A.xyz']",43.08104512639545,74,A_A_A_C_A_0,B
26,"['data/SN2-20/0076/r/19.xyz', 'data/SN2-20/0076/r/A.xyz']","['data/SN2-20/0076/p/00.xyz', 'data/SN2-20/0076/p/B.xyz']",-75.84533439941794,76,A_A_A_C_A_0,C
27,"['data/SN2-20/0077/r/19.xyz', 'data/SN2-20/0077/r/B.xyz']","['data/SN2-20/0077/p/02.xyz', 'data/SN2-20/0077/p/B.xyz']",-43.06431717711834,77,A_A_A_C_A_0,D
28,"['data/SN2-20/0084/r/03.xyz', 'data/SN2-20/0084/r/A.xyz']","['data/SN2-20/0084/p/03.xyz', 'data/SN2-20/0084/p/A.xyz']",-31.035077564226164,84,A_A_A_C_B_0,A
29,"['data/SN2-20/0086/r/03.xyz', 'data/SN2-20/0086/r/C.xyz']","['data/SN2-20/0086/p/01.xyz', 'data/SN2-20/0086/p/A.xyz']",43.70814476061028,86,A_A_A_C_B_0,B
30,"['data/SN2-20/0088/r/01.xyz', 'data/SN2-20/0088/r/A.xyz']","['data/SN2-20/0088/p/03.xyz', 'data/SN2-20/0088/p/B.xyz']",-74.7431040033152,88,A_A_A_C_B_0,C
31,"['data/SN2-20/0089/r/01.xyz', 'data/SN2-20/0089/r/B.xyz']","['data/SN2-20/0089/p/03.xyz', 'data/SN2-20/0089/p/B.xyz']",-43.707999912789745,89,A_A_A_C_B_0,D
32,"['data/SN2-20/0096/r/02.xyz', 'data/SN2-20/0096/r/A.xyz']","['data/SN2-20/0096/p/01.xyz', 'data/SN2-20/0096/p/A.xyz']",-29.34448636859529,96,A_A_A_C_C_0,A
33,"['data/SN2-20/0098/r/02.xyz', 'data/SN2-20/0098/r/C.xyz']","['data/SN2-20/0098/p/01.xyz', 'data/SN2-20/0098/p/A.xyz']",43.407790507534685,98,A_A_A_C_C_0,B
34,"['data/SN2-20/0100/r/01.xyz', 'data/SN2-20/0100/r/A.xyz']","['data/SN2-20/0100/p/01.xyz', 'data/SN2-20/0100/p/B.xyz']",-72.75214751087532,100,A_A_A_C_C_0,C
35,"['data/SN2-20/0101/r/01.xyz', 'data/SN2-20/0101/r/B.xyz']","['data/SN2-20/0101/p/02.xyz', 'data/SN2-20/0101/p/B.xyz']",-43.40779088672552,101,A_A_A_C_C_0,D
36,"['data/SN2-20/0108/r/04.xyz', 'data/SN2-20/0108/r/A.xyz']","['data/SN2-20/0108/p/01.xyz', 'data/SN2-20/0108/p/A.xyz']",-28.92464246061409,108,A_A_A_D_A_0,A
37,"['data/SN2-20/0110/r/04.xyz', 'data/SN2-20/0110/r/C.xyz']","['data/SN2-20/0110/p/04.xyz', 'data/SN2-20/0110/p/A.xyz']",43.662426413757494,110,A_A_A_D_A_0,B
38,"['data/SN2-20/0112/r/04.xyz', 'data/SN2-20/0112/r/A.xyz']","['data/SN2-20/0112/p/01.xyz', 'data/SN2-20/0112/p/B.xyz']",-72.5870284352564,112,A_A_A_D_A_0,C
39,"['data/SN2-20/0113/r/04.xyz', 'data/SN2-20/0113/r/B.xyz']","['data/SN2-20/0113/p/04.xyz', 'data/SN2-20/0113/p/B.xyz']",-43.662415998578616,113,A_A_A_D_A_0,D
40,"['data/SN2-20/0120/r/00.xyz', 'data/SN2-20/0120/r/A.xyz']","['data/SN2-20/0120/p/00.xyz', 'data/SN2-20/0120/p/A.xyz']",-28.814479796159574,120,A_A_A_D_B_0,A
41,"['data/SN2-20/0122/r/00.xyz', 'data/SN2-20/0122/r/C.xyz']","['data/SN2-20/0122/p/00.xyz', 'data/SN2-20/0122/p/A.xyz']",43.89553469765573,122,A_A_A_D_B_0,B
42,"['data/SN2-20/0124/r/00.xyz', 'data/SN2-20/0124/r/A.xyz']","['data/SN2-20/0124/p/00.xyz', 'data/SN2-20/0124/p/B.xyz']",-72.70997917066866,124,A_A_A_D_B_0,C
43,"['data/SN2-20/0125/r/00.xyz', 'data/SN2-20/0125/r/B.xyz']","['data/SN2-20/0125/p/00.xyz', 'data/SN2-20/0125/p/B.xyz']",-43.89548209378521,125,A_A_A_D_B_0,D
44,"['data/SN2-20/0132/r/03.xyz', 'data/SN2-20/0132/r/A.xyz']","['data/SN2-20/0132/p/03.xyz', 'data/SN2-20/0132/p/A.xyz']",-31.034971942168998,132,A_A_A_D_C_0,A
45,"['data/SN2-20/0134/r/03.xyz', 'data/SN2-20/0134/r/C.xyz']","['data/SN2-20/0134/p/01.xyz', 'data/SN2-20/0134/p/A.xyz']",43.70816620588798,134,A_A_A_D_C_0,B
46,"['data/SN2-20/0136/r/01.xyz', 'data/SN2-20/0136/r/A.xyz']","['data/SN2-20/0136/p/03.xyz', 'data/SN2-20/0136/p/B.xyz']",-74.74300721460395,136,A_A_A_D_C_0,C
47,"['data/SN2-20/0137/r/01.xyz', 'data/SN2-20/0137/r/B.xyz']","['data/SN2-20/0137/p/03.xyz', 'data/SN2-20/0137/p/B.xyz']",-43.707986329299075,137,A_A_A_D_C_0,D
48,"['data/SN2-20/0144/r/00.xyz', 'data/SN2-20/0144/r/A.xyz']","['data/SN2-20/0144/p/00.xyz', 'data/SN2-20/0144/p/A.xyz']",-30.734073233126235,144,A_A_A_E_A_0,A
49,"['data/SN2-20/0146/r/00.xyz', 'data/SN2-20/0146/r/C.xyz']","['data/SN2-20/0146/p/00.xyz', 'data/SN2-20/0146/p/A.xyz']",43.94829075429429,146,A_A_A_E_A_0,B
50,"['data/SN2-20/0148/r/00.xyz', 'data/SN2-20/0148/r/A.xyz']","['data/SN2-20/0148/p/00.xyz', 'data/SN2-20/0148/p/B.xyz']",-74.68234340162893,148,A_A_A_E_A_0,C
51,"['data/SN2-20/0149/r/00.xyz', 'data/SN2-20/0149/r/B.xyz']","['data/SN2-20/0149/p/00.xyz', 'data/SN2-20/0149/p/B.xyz']",-43.94819862854322,149,A_A_A_E_A_0,D
52,"['data/SN2-20/0156/r/01.xyz', 'data/SN2-20/0156/r/A.xyz']","['data/SN2-20/0156/p/00.xyz', 'data/SN2-20/0156/p/A.xyz']",-28.102395293620358,156,A_A_A_E_B_0,A
53,"['data/SN2-20/0158/r/01.xyz', 'data/SN2-20/0158/r/C.xyz']","['data/SN2-20/0158/p/01.xyz', 'data/SN2-20/0158/p/A.xyz']",44.09091815402847,158,A_A_A_E_B_0,B
54,"['data/SN2-20/0160/r/01.xyz', 'data/SN2-20/0160/r/A.xyz']","['data/SN2-20/0160/p/00.xyz', 'data/SN2-20/0160/p/B.xyz']",-72.19334175422688,160,A_A_A_E_B_0,C
55,"['data/SN2-20/0161/r/01.xyz', 'data/SN2-20/0161/r/B.xyz']","['data/SN2-20/0161/p/01.xyz', 'data/SN2-20/0161/p/B.xyz']",-44.090916037477854,161,A_A_A_E_B_0,D
56,"['data/SN2-20/0168/r/12.xyz', 'data/SN2-20/0168/r/A.xyz']","['data/SN2-20/0168/p/03.xyz', 'data/SN2-20/0168/p/A.xyz']",-28.450506708554286,168,A_A_A_E_C_0,A
57,"['data/SN2-20/0169/r/12.xyz', 'data/SN2-20/0169/r/B.xyz']","['data/SN2-20/0169/p/08.xyz', 'data/SN2-20/0169/p/A.xyz']",1.0077573231550832,169,A_A_A_E_C_0,B
58,"['data/SN2-20/0170/r/12.xyz', 'data/SN2-20/0170/r/C.xyz']","['data/SN2-20/0170/p/06.xyz', 'data/SN2-20/0170/p/A.xyz']",44.670141557057974,170,A_A_A_E_C_0,C
59,"['data/SN2-20/0172/r/13.xyz', 'data/SN2-20/0172/r/A.xyz']","['data/SN2-20/0172/p/03.xyz', 'data/SN2-20/0172/p/B.xyz']",-72.34258360395668,172,A_A_A_E_C_0,D
60,"['data/SN2-20/0173/r/13.xyz', 'data/SN2-20/0173/r/B.xyz']","['data/SN2-20/0173/p/08.xyz', 'data/SN2-20/0173/p/B.xyz']",-42.88431957224735,173,A_A_B_A_A_0,A
61,"['data/SN2-20/0180/r/01.xyz', 'data/SN2-20/0180/r/A.xyz']","['data/SN2-20/0180/p/00.xyz', 'data/SN2-20/0180/p/A.xyz']",-26.408328651622963,180,A_A_B_A_A_0,B
62,"['data/SN2-20/0182/r/01.xyz', 'data/SN2-20/0182/r/C.xyz']","['data/SN2-20/0182/p/01.xyz', 'data/SN2-20/0182/p/A.xyz']",43.775541946450005,182,A_A_B_A_A_0,C
63,"['data/SN2-20/0184/r/01.xyz', 'data/SN2-20/0184/r/A.xyz']","['data/SN2-20/0184/p/00.xyz', 'data/SN2-20/0184/p/B.xyz']",-70.1838744101522,184,A_A_B_A_A_0,D
64,"['data/SN2-20/0185/r/01.xyz', 'data/SN2-20/0185/r/B.xyz']","['data/SN2-20/0185/p/01.xyz', 'data/SN2-20/0185/p/B.xyz']",-43.775447557877705,185,A_A_B_A_B_0,A
65,"['data/SN2-20/0192/r/02.xyz', 'data/SN2-20/0192/r/A.xyz']","['data/SN2-20/0192/p/01.xyz', 'data/SN2-20/0192/p/A.xyz']",-29.34446387838705,192,A_A_B_A_B_0,B
66,"['data/SN2-20/0194/r/02.xyz', 'data/SN2-20/0194/r/C.xyz']","['data/SN2-20/0194/p/01.xyz', 'data/SN2-20/0194/p/A.xyz']",43.40781005652829,194,A_A_B_A_B_0,C
67,"['data/SN2-20/0196/r/01.xyz', 'data/SN2-20/0196/r/A.xyz']","['data/SN2-20/0196/p/01.xyz', 'data/SN2-20/0196/p/B.xyz']",-72.75215465920611,196,A_A_B_A_B_0,D
68,"['data/SN2-20/0197/r/01.xyz', 'data/SN2-20/0197/r/B.xyz']","['data/SN2-20/0197/p/02.xyz', 'data/SN2-20/0197/p/B.xyz']",-43.40780570615553,197,A_A_B_A_C_0,A
69,"['data/SN2-20/0204/r/01.xyz', 'data/SN2-20/0204/r/A.xyz']","['data/SN2-20/0204/p/00.xyz', 'data/SN2-20/0204/p/A.xyz']",-28.10232557144588,204,A_A_B_A_C_0,B
70,"['data/SN2-20/0206/r/01.xyz', 'data/SN2-20/0206/r/C.xyz']","['data/SN2-20/0206/p/01.xyz', 'data/SN2-20/0206/p/A.xyz']",44.0909978515711,206,A_A_B_A_C_0,C
71,"['data/SN2-20/0208/r/01.xyz', 'data/SN2-20/0208/r/A.xyz']","['data/SN2-20/0208/p/00.xyz', 'data/SN2-20/0208/p/B.xyz']",-72.19335176658404,208,A_A_B_A_C_0,D
72,"['data/SN2-20/0209/r/01.xyz', 'data/SN2-20/0209/r/B.xyz']","['data/SN2-20/0209/p/01.xyz', 'data/SN2-20/0209/p/B.xyz']",-44.09097004899056,209,A_A_B_B_A_0,A
73,"['data/SN2-20/0216/r/00.xyz', 'data/SN2-20/0216/r/A.xyz']","['data/SN2-20/0216/p/00.xyz', 'data/SN2-20/0216/p/A.xyz']",-26.41623157552573,216,A_A_B_B_A_0,B
74,"['data/SN2-20/0218/r/00.xyz', 'data/SN2-20/0218/r/C.xyz']","['data/SN2-20/0218/p/00.xyz', 'data/SN2-20/0218/p/A.xyz']",43.52763567138808,218,A_A_B_B_A_0,C
75,"['data/SN2-20/0220/r/00.xyz', 'data/SN2-20/0220/r/A.xyz']","['data/SN2-20/0220/p/00.xyz', 'data/SN2-20/0220/p/B.xyz']",-69.94368431187439,220,A_A_B_B_A_0,D
76,"['data/SN2-20/0221/r/00.xyz', 'data/SN2-20/0221/r/B.xyz']","['data/SN2-20/0221/p/00.xyz', 'data/SN2-20/0221/p/B.xyz']",-43.52740710834812,221,A_A_B_B_B_0,A
77,"['data/SN2-20/0228/r/00.xyz', 'data/SN2-20/0228/r/A.xyz']","['data/SN2-20/0228/p/00.xyz', 'data/SN2-20/0228/p/A.xyz']",-25.78709332926337,228,A_A_B_B_B_0,B
78,"['data/SN2-20/0230/r/00.xyz', 'data/SN2-20/0230/r/C.xyz']","['data/SN2-20/0230/p/01.xyz', 'data/SN2-20/0230/p/A.xyz']",43.505525721453466,230,A_A_B_B_B_0,C
79,"['data/SN2-20/0232/r/01.xyz', 'data/SN2-20/0232/r/A.xyz']","['data/SN2-20/0232/p/00.xyz', 'data/SN2-20/0232/p/B.xyz']",-69.29265058068893,232,A_A_B_B_B_0,D
80,"['data/SN2-20/0233/r/01.xyz', 'data/SN2-20/0233/r/B.xyz']","['data/SN2-20/0233/p/00.xyz', 'data/SN2-20/0233/p/B.xyz']",-43.50556890602153,233,A_A_B_B_C_0,A
81,"['data/SN2-20/0240/r/04.xyz', 'data/SN2-20/0240/r/A.xyz']","['data/SN2-20/0240/p/02.xyz', 'data/SN2-20/0240/p/A.xyz']",-26.105593326021857,240,A_A_B_B_C_0,B
82,"['data/SN2-20/0242/r/04.xyz', 'data/SN2-20/0242/r/C.xyz']","['data/SN2-20/0242/p/07.xyz', 'data/SN2-20/0242/p/A.xyz']",43.57831102712567,242,A_A_B_B_C_0,C
83,"['data/SN2-20/0244/r/07.xyz', 'data/SN2-20/0244/r/A.xyz']","['data/SN2-20/0244/p/02.xyz', 'data/SN2-20/0244/p/B.xyz']",-69.68386581090499,244,A_A_B_B_C_0,D
84,"['data/SN2-20/0245/r/07.xyz', 'data/SN2-20/0245/r/B.xyz']","['data/SN2-20/0245/p/04.xyz', 'data/SN2-20/0245/p/B.xyz']",-43.57827260281457,245,A_A_B_C_A_0,A
85,"['data/SN2-20/0252/r/04.xyz', 'data/SN2-20/0252/r/A.xyz']","['data/SN2-20/0252/p/01.xyz', 'data/SN2-20/0252/p/A.xyz']",-28.924660441587662,252,A_A_B_C_A_0,B
86,"['data/SN2-20/0254/r/04.xyz', 'data/SN2-20/0254/r/C.xyz']","['data/SN2-20/0254/p/04.xyz', 'data/SN2-20/0254/p/A.xyz']",43.662404879841716,254,A_A_B_C_A_0,C
87,"['data/SN2-20/0256/r/04.xyz', 'data/SN2-20/0256/r/A.xyz']","['data/SN2-20/0256/p/01.xyz', 'data/SN2-20/0256/p/B.xyz']",-72.58702394485509,256,A_A_B_C_A_0,D
88,"['data/SN2-20/0257/r/04.xyz', 'data/SN2-20/0257/r/B.xyz']","['data/SN2-20/0257/p/04.xyz', 'data/SN2-20/0257/p/B.xyz']",-43.6624114373382,257,A_A_B_C_B_0,A
89,"['data/SN2-20/0264/r/12.xyz', 'data/SN2-20/0264/r/A.xyz']","['data/SN2-20/0264/p/03.xyz', 'data/SN2-20/0264/p/A.xyz']",-28.45050641991876,264,A_A_B_C_B_0,B
90,"['data/SN2-20/0265/r/12.xyz', 'data/SN2-20/0265/r/B.xyz']","['data/SN2-20/0265/p/08.xyz', 'data/SN2-20/0265/p/A.xyz']",1.0077577812552008,265,A_A_B_C_B_0,C
91,"['data/SN2-20/0266/r/12.xyz', 'data/SN2-20/0266/r/C.xyz']","['data/SN2-20/0266/p/06.xyz', 'data/SN2-20/0266/p/A.xyz']",44.6701473125404,266,A_A_B_C_B_0,D
92,"['data/SN2-20/0268/r/17.xyz', 'data/SN2-20/0268/r/A.xyz']","['data/SN2-20/0268/p/03.xyz', 'data/SN2-20/0268/p/B.xyz']",-72.32992787963184,268,A_A_B_C_C_0,A
93,"['data/SN2-20/0269/r/17.xyz', 'data/SN2-20/0269/r/B.xyz']","['data/SN2-20/0269/p/08.xyz', 'data/SN2-20/0269/p/B.xyz']",-42.87166367849356,269,A_A_B_C_C_0,B
94,"['data/SN2-20/0276/r/00.xyz', 'data/SN2-20/0276/r/A.xyz']","['data/SN2-20/0276/p/00.xyz', 'data/SN2-20/0276/p/A.xyz']",-25.787098001613487,276,A_A_B_C_C_0,C
95,"['data/SN2-20/0278/r/00.xyz', 'data/SN2-20/0278/r/C.xyz']","['data/SN2-20/0278/p/01.xyz', 'data/SN2-20/0278/p/A.xyz']",43.50552069326697,278,A_A_B_C_C_0,D
96,"['data/SN2-20/0280/r/01.xyz', 'data/SN2-20/0280/r/A.xyz']","['data/SN2-20/0280/p/00.xyz', 'data/SN2-20/0280/p/B.xyz']",-69.29265053110869,280,A_A_B_D_A_0,A
97,"['data/SN2-20/0281/r/01.xyz', 'data/SN2-20/0281/r/B.xyz']","['data/SN2-20/0281/p/00.xyz', 'data/SN2-20/0281/p/B.xyz']",-43.505565337384866,281,A_A_B_D_A_0,B
98,"['data/SN2-20/0288/r/21.xyz', 'data/SN2-20/0288/r/A.xyz']","['data/SN2-20/0288/p/05.xyz', 'data/SN2-20/0288/p/A.xyz']",-25.800855524957036,288,A_A_B_D_A_0,C
99,"['data/SN2-20/0290/r/21.xyz', 'data/SN2-20/0290/r/C.xyz']","['data/SN2-20/0290/p/05.xyz', 'data/SN2-20/0290/p/A.xyz']",43.82976213690013,290,A_A_B_D_A_0,D
100,"['data/SN2-20/0292/r/23.xyz', 'data/SN2-20/0292/r/A.xyz']","['data/SN2-20/0292/p/05.xyz', 'data/SN2-20/0292/p/B.xyz']",-69.36213898885825,292,A_A_B_D_B_0,A
101,"['data/SN2-20/0293/r/23.xyz', 'data/SN2-20/0293/r/B.xyz']","['data/SN2-20/0293/p/03.xyz', 'data/SN2-20/0293/p/B.xyz']",-43.540507492904545,293,A_A_B_D_B_0,B
102,"['data/SN2-20/0300/r/00.xyz', 'data/SN2-20/0300/r/A.xyz']","['data/SN2-20/0300/p/00.xyz', 'data/SN2-20/0300/p/A.xyz']",-25.419257728121643,300,A_A_B_D_B_0,C
103,"['data/SN2-20/0302/r/00.xyz', 'data/SN2-20/0302/r/C.xyz']","['data/SN2-20/0302/p/01.xyz', 'data/SN2-20/0302/p/A.xyz']",48.082888813421924,302,A_A_B_D_B_0,D
104,"['data/SN2-20/0304/r/01.xyz', 'data/SN2-20/0304/r/A.xyz']","['data/SN2-20/0304/p/00.xyz', 'data/SN2-20/0304/p/B.xyz']",-73.50217355168724,304,A_A_B_D_C_0,A
105,"['data/SN2-20/0305/r/01.xyz', 'data/SN2-20/0305/r/B.xyz']","['data/SN2-20/0305/p/00.xyz', 'data/SN2-20/0305/p/B.xyz']",-48.08284608757821,305,A_A_B_D_C_0,B
106,"['data/SN2-20/0312/r/00.xyz', 'data/SN2-20/0312/r/A.xyz']","['data/SN2-20/0312/p/03.xyz', 'data/SN2-20/0312/p/A.xyz']",-29.290682861346802,312,A_A_B_D_C_0,C
107,"['data/SN2-20/0314/r/00.xyz', 'data/SN2-20/0314/r/C.xyz']","['data/SN2-20/0314/p/01.xyz', 'data/SN2-20/0314/p/A.xyz']",46.467917039224176,314,A_A_B_D_C_0,D
108,"['data/SN2-20/0316/r/01.xyz', 'data/SN2-20/0316/r/A.xyz']","['data/SN2-20/0316/p/03.xyz', 'data/SN2-20/0316/p/B.xyz']",-75.75832482448729,316,A_A_B_E_A_0,A
109,"['data/SN2-20/0317/r/01.xyz', 'data/SN2-20/0317/r/B.xyz']","['data/SN2-20/0317/p/00.xyz', 'data/SN2-20/0317/p/B.xyz']",-46.46757576190401,317,A_A_B_E_A_0,B
110,"['data/SN2-20/0324/r/00.xyz', 'data/SN2-20/0324/r/A.xyz']","['data/SN2-20/0324/p/00.xyz', 'data/SN2-20/0324/p/A.xyz']",-27.70409004688177,324,A_A_B_E_A_0,C
111,"['data/SN2-20/0326/r/00.xyz', 'data/SN2-20/0326/r/C.xyz']","['data/SN2-20/0326/p/01.xyz', 'data/SN2-20/0326/p/A.xyz']",47.0841263288213,326,A_A_B_E_A_0,D
112,"['data/SN2-20/0328/r/01.xyz', 'data/SN2-20/0328/r/A.xyz']","['data/SN2-20/0328/p/00.xyz', 'data/SN2-20/0328/p/B.xyz']",-74.78824989298715,328,A_A_B_E_B_0,A
113,"['data/SN2-20/0329/r/01.xyz', 'data/SN2-20/0329/r/B.xyz']","['data/SN2-20/0329/p/00.xyz', 'data/SN2-20/0329/p/B.xyz']",-47.08347857863435,329,A_A_B_E_B_0,B
